table,row,reason
idac,11710,"repeat measurements disagree, group dropped"
idac,11711,"repeat measurements disagree, group dropped"
idac,32613,"repeat measurements disagree, group dropped"
idac,38887,"repeat measurements disagree, group dropped"
idac,2259,"repeat measurements disagree, group dropped"
idac,14525,"repeat measurements disagree, group dropped"
idac,32511,"repeat measurements disagree, group dropped"
idac,32707,"repeat measurements disagree, group dropped"
idac,39758,"repeat measurements disagree, group dropped"
idac,32512,repeat disagreement >0.2 in ln gamma
idac,31249,"repeat measurements disagree, group dropped"
idac,32577,"repeat measurements disagree, group dropped"
idac,34317,"repeat measurements disagree, group dropped"
idac,34554,"repeat measurements disagree, group dropped"
idac,34318,"repeat measurements disagree, group dropped"
idac,34558,"repeat measurements disagree, group dropped"
idac,32640,"repeat measurements disagree, group dropped"
idac,38903,"repeat measurements disagree, group dropped"
idac,38875,repeat disagreement >0.2 in ln gamma
idac,34346,"repeat measurements disagree, group dropped"
idac,34638,"repeat measurements disagree, group dropped"
idac,34348,"repeat measurements disagree, group dropped"
idac,34642,"repeat measurements disagree, group dropped"
idac,31006,repeat disagreement >0.2 in ln gamma
idac,33118,"repeat measurements disagree, group dropped"
idac,39862,"repeat measurements disagree, group dropped"
idac,32618,"repeat measurements disagree, group dropped"
idac,38897,"repeat measurements disagree, group dropped"
idac,32737,"repeat measurements disagree, group dropped"
idac,39774,"repeat measurements disagree, group dropped"
idac,32517,"repeat measurements disagree, group dropped"
idac,32739,"repeat measurements disagree, group dropped"
idac,38869,"repeat measurements disagree, group dropped"
idac,34324,"repeat measurements disagree, group dropped"
idac,34575,"repeat measurements disagree, group dropped"
idac,2319,"repeat measurements disagree, group dropped"
idac,14688,"repeat measurements disagree, group dropped"
idac,33054,"repeat measurements disagree, group dropped"
idac,39300,"repeat measurements disagree, group dropped"
idac,33055,"repeat measurements disagree, group dropped"
idac,39302,"repeat measurements disagree, group dropped"
idac,33153,"repeat measurements disagree, group dropped"
idac,39838,"repeat measurements disagree, group dropped"
vle,37,a component is near or above its critical temperature (gas solubility)
vle,38,a component is near or above its critical temperature (gas solubility)
vle,39,a component is near or above its critical temperature (gas solubility)
vle,40,a component is near or above its critical temperature (gas solubility)
vle,41,a component is near or above its critical temperature (gas solubility)
vle,42,a component is near or above its critical temperature (gas solubility)
vle,43,a component is near or above its critical temperature (gas solubility)
vle,44,a component is near or above its critical temperature (gas solubility)
vle,45,a component is near or above its critical temperature (gas solubility)
vle,46,a component is near or above its critical temperature (gas solubility)
vle,47,a component is near or above its critical temperature (gas solubility)
vle,48,a component is near or above its critical temperature (gas solubility)
vle,49,a component is near or above its critical temperature (gas solubility)
vle,50,a component is near or above its critical temperature (gas solubility)
vle,51,a component is near or above its critical temperature (gas solubility)
vle,52,a component is near or above its critical temperature (gas solubility)
vle,53,a component is near or above its critical temperature (gas solubility)
vle,54,a component is near or above its critical temperature (gas solubility)
vle,55,a component is near or above its critical temperature (gas solubility)
vle,57,a component is near or above its critical temperature (gas solubility)
vle,58,a component is near or above its critical temperature (gas solubility)
vle,60,a component is near or above its critical temperature (gas solubility)
vle,62,a component is near or above its critical temperature (gas solubility)
vle,64,a component is near or above its critical temperature (gas solubility)
vle,65,a component is near or above its critical temperature (gas solubility)
vle,66,a component is near or above its critical temperature (gas solubility)
vle,67,a component is near or above its critical temperature (gas solubility)
vle,70,a component is near or above its critical temperature (gas solubility)
vle,72,a component is near or above its critical temperature (gas solubility)
vle,73,a component is near or above its critical temperature (gas solubility)
vle,74,a component is near or above its critical temperature (gas solubility)
vle,75,a component is near or above its critical temperature (gas solubility)
vle,77,a component is near or above its critical temperature (gas solubility)
vle,78,a component is near or above its critical temperature (gas solubility)
vle,79,a component is near or above its critical temperature (gas solubility)
