name,formula,inchikey,smiles,source
"(1RS,2SR,5RS)-2,6,6-trimethylbicyclo[3.1.1]heptane",C10H18,XOKSLPVRUOBDEW-DJLDLDEBSA-N,C[C@H]1CC[C@@H]2C[C@H]1C2(C)C,xml_inchi
(1S)-(+)-10-camphorsulfonamide,C10H17NO3S,SBLUNABTQYDFJM-GMSGAONNSA-N,CC1(C)[C@@H]2CC[C@@]1(CS(N)(=O)=O)C(=O)C2,xml_inchi
(1S)-(+)-10-camphorsulfonic acid,C10H16O4S,MIOPJNTWMNEORI-GMSGAONNSA-N,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,xml_inchi
"(1S)-(1,1'-binaphthalene)-2,2'-diyl bis(2,2-dimethylpropanoate)",C30H30O4,NZHLGJUQMFMENQ-UHFFFAOYSA-N,CC(C)(C)C(=O)Oc1ccc2ccccc2c1-c1c(OC(=O)C(C)(C)C)ccc2ccccc12,xml_inchi
"(1S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C10H16O,DSSYKIVIOFKYAU-OIBJUYFYSA-N,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,xml_inchi
"(1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid",C7H12O6,AAWZDTNXLSGCEK-WYWMIBKRSA-N,O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1,xml_inchi
"(1S,5S)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane",C10H16,WTARULDDTDQWMU-IUCAKERBSA-N,C=C1CC[C@H]2C[C@@H]1C2(C)C,xml_inchi
"(1S-endo)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",C10H18O,DTGKSKDOIYIVQL-QXFUBDJGSA-N,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,xml_inchi
"(2'-hydroxy-[1,1'-biphenyl]-2-yl)phosphinic acid",C12H11O3P,ICAHILARRLJFNV-UHFFFAOYSA-N,O=[PH](O)c1ccccc1-c1ccccc1O,xml_inchi
"(2,2-dimethylpropyl)benzene",C11H16,CJGXJKVMUHXVHL-UHFFFAOYSA-N,CC(C)(C)Cc1ccccc1,xml_inchi
"(2,4,6-trimethylbenzoyl) diphenylphosphine oxide",C22H21O2P,VFHVQBAGLAREND-UHFFFAOYSA-N,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,xml_inchi
"(2,4-dinitrophenyl)-L-valine",C11H13N3O6,AYLCDVYHZOZQKM-JTQLQIEISA-N,CC(C)[C@H](Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,xml_inchi
"(2,4-dinitrophenyl)leucine",C12H15N3O6,STMDPCBYJCIZOD-UHFFFAOYSA-N,CC(C)CC(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,xml_inchi
"(2,5-dihydroxyphenyl)diphenyl phosphine oxide",C18H15O3P,LLOXZCFOAUCDAE-UHFFFAOYSA-N,O=P(c1ccccc1)(c1ccccc1)c1cc(O)ccc1O,xml_inchi
"(2-((2,6-dichlorophenyl)amino)phenyl)acetic acid",C14H11Cl2NO2,DCOPUUMXTXDBNB-UHFFFAOYSA-N,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,xml_inchi
(2-chloroethyl)benzene,C8H9Cl,MNNZINNZIQVULG-UHFFFAOYSA-N,ClCCc1ccccc1,xml_inchi
(2-chlorophenyl)ethanoic acid,C8H7ClO2,IUJAAIZKRJJZGQ-UHFFFAOYSA-N,O=C(O)Cc1ccccc1Cl,xml_inchi
(2-decanoyloxyethyl)dimethylpentyloxymethylammonium trifluoroacetate,C22H42F3NO5,ZAQIJQOTIOWGSL-UHFFFAOYSA-M,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCC.O=C([O-])C(F)(F)F,xml_inchi
(2-hydroxyethyl)-dimethylundecyloxymethylammonium dicyanamide,C18H36N4O2,CAQXBNHUZRFUHR-UHFFFAOYSA-N,CCCCCCCCCCCOC[N+](C)(C)CCO.N#C[N-]C#N,xml_inchi
(2-hydroxyethyl)trimethylammonium perfluoroheptanoate,C12H14F13NO3,QGNBYQWYTBKJCM-UHFFFAOYSA-M,C[N+](C)(C)CCO.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,xml_inchi
(2-hydroxyethyl)trimethylammonium perfluorohexanoate,C11H14F11NO3,FLUKRPVQXUZGLD-UHFFFAOYSA-M,C[N+](C)(C)CCO.O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,xml_inchi
