file,year,dataset,solute,solvent,solute_name,solvent_name,T,gamma_inf,ln_gamma_inf,method
j.fluid.2005.04.021.xml,2005,6,DMEGYFMYUHOHGS-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cycloheptane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.52,-0.6539264674066639,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,6,DMEGYFMYUHOHGS-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,cycloheptane,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.49,-0.7133498878774648,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,7,LIKMAJRDDDTEIG-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,hex-1-ene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.53,-0.6348782724359695,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,7,LIKMAJRDDDTEIG-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,hex-1-ene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.53,-0.6348782724359695,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,7,LIKMAJRDDDTEIG-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,hex-1-ene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.52,-0.6539264674066639,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,8,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-heptene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.59,-0.527632742082372,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,8,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-heptene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.58,-0.5447271754416722,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,8,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-heptene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.57,-0.5621189181535413,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,9,KWKAKUADMBZCLK-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,oct-1-ene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.67,-0.40047756659712525,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,9,KWKAKUADMBZCLK-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,oct-1-ene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.65,-0.4307829160924542,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,9,KWKAKUADMBZCLK-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,oct-1-ene,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.64,-0.4462871026284195,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,10,CGHIBGNXEGJPQZ-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-hexyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.42,-0.8675005677047231,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,10,CGHIBGNXEGJPQZ-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-hexyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.42,-0.8675005677047231,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,10,CGHIBGNXEGJPQZ-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-hexyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.41,-0.8915981192837836,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,11,YVXHZKKCZYLQOP-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-heptyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.46,-0.7765287894989963,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,11,YVXHZKKCZYLQOP-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-heptyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.46,-0.7765287894989963,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,11,YVXHZKKCZYLQOP-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-heptyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.45,-0.7985076962177716,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,12,UMIPWJGWASORKV-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-octyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,0.57,-0.5621189181535413,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,12,UMIPWJGWASORKV-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-octyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,0.52,-0.6539264674066639,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,12,UMIPWJGWASORKV-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,1-octyne,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,328.15,0.51,-0.6733445532637656,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,13,OKKJLVBELUTLKV-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,methanol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,308.15,1.23,0.20701416938432612,CHROM:UFactor:2
j.fluid.2005.04.021.xml,2005,13,OKKJLVBELUTLKV-UHFFFAOYSA-N,HEKABVMGXQRBFH-UHFFFAOYSA-N,methanol,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,318.15,1.14,0.131028262406404,CHROM:UFactor:2
