inchikey,name,C6_au,alpha_au
ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,333.1161660463169,27.5571158691083
AMQJEAYHLZJPGS-UHFFFAOYSA-N,1-pentanol,2136.6796840834336,68.31164855403259
BBMCTIGTTCKYKF-UHFFFAOYSA-N,1-heptanol,3855.505326581043,91.89335761846067
UDSFAEKRVUSQDD-UHFFFAOYSA-N,dimethyl-adipate,5755.822377668335,112.07395858486792
NIQCNGHVCWTJSM-UHFFFAOYSA-N,dimethyl_phthalate,6918.016956328824,128.43336413847328
WVDDGKGOMKODPV-UHFFFAOYSA-N,benzyl_alcohol,2850.7799502343123,84.47809708007921
RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",1514.3745650974656,56.848579228766404
HYBBIBNJHNGZAN-UHFFFAOYSA-N,furfural,1652.378165070122,63.756571361308254
BDAGIHXWWSANSR-UHFFFAOYSA-N,formic_acid,251.3563048317036,23.271361797153876
DURPTKYDGMDSBL-UHFFFAOYSA-N,di-n-butyl_ether,4918.898831225101,103.93376559151345
YNAVUWVOSKDBBP-UHFFFAOYSA-N,morpholine,1702.947883691699,61.02720117338562
BTANRVKWQNVYAZ-BYPYZUCNSA-N,2-butanol,1469.568047543954,56.58723208270815
WERYXYBDKMZEQL-UHFFFAOYSA-N,"1,4-butanediol",1747.1236693820363,61.151691014512224
KJIOQYGWTQBHNH-UHFFFAOYSA-N,1-undecanol,8794.456335742896,138.96310151759675
PJGSXYOJTGTZAV-UHFFFAOYSA-N,"3,3-dimethyl-2-butanone",2682.913103879617,77.32506692007615
XBDQKXXYIPTUBI-UHFFFAOYSA-N,propionic_acid,995.6548784362769,46.565420109223524
FERIUCNNQQJTOY-UHFFFAOYSA-N,n-butyric_acid,1555.3303068816879,58.27108091276953
UAOMVDZJSHZZME-UHFFFAOYSA-N,diisopropylamine,3220.013949203655,84.73992907391353
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methyl-1-propanol,1469.6248974678515,56.601575787390715
CRVGTESFCCXCTH-UHFFFAOYSA-N,methyl_diethanolamine,3107.668861845671,82.11698955029156
SNRUBQQJIBEYMU-UHFFFAOYSA-N,n-dodecane,9658.858375016067,146.23677379353674
DIOQZVSQGTUSAI-UHFFFAOYSA-N,n-decane,6790.994821437415,122.64922255993768
HZAXFHJVJLSVMW-UHFFFAOYSA-N,monoethanolamine,808.5334943555716,42.02940327302992
UEEJHVSXFDXPFK-UHFFFAOYSA-N,dimethylethanolamine,1969.2779335286727,65.82399649704914
BFSVOASYOCHEOV-UHFFFAOYSA-N,diethylethanolamine,3622.6228802382184,89.30306533050852
BZLVMXJERCGZMT-UHFFFAOYSA-N,methyl_tert-butyl_ether,2160.5047088561823,68.84383500679235
MSXVEPNJUHWQHW-UHFFFAOYSA-N,2-methyl-2-butanol,2145.51151228433,68.46137699690621
BKIMMITUMNQMOS-UHFFFAOYSA-N,n-nonane,5550.156407760976,110.90693718416892
IJDNQMDRQITEOD-UHFFFAOYSA-N,n-butane,1217.2541994114022,52.065972102015635
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,propane,726.6136268966688,40.27671957565143
DIKBFYAXUHHXCS-UHFFFAOYSA-N,tribromomethane,2164.32560491262,74.24231814448234
ZJIJAJXFLBMLCK-UHFFFAOYSA-N,perfluorohexane,5144.5843429672195,93.11287523281072
RWSOTUBLDIXVET-UHFFFAOYSA-N,hydrogen_sulfide,216.993404561843,24.532028548876333
