inchikey,name,dipole_D,n2,eps
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,cinnamaldehyde,4.700845686177701,2.7761817170805463,50.58466736705182
NQBXSWAWVZHKBZ-UHFFFAOYSA-N,ethylene_glycol_monobutyl_ether_acetate,1.6564920401490333,2.388081903155447,5.817942563393155
VMKMZRBPOSNUMX-PHDIDXHHSA-N,dipropylene_glycol,1.5018422052747886,2.3255827701186877,5.5883195113924735
ICMAFTSLXCXHRK-UHFFFAOYSA-N,ethyl-pentanoate,2.334436549166752,2.397398548294988,11.21748025003266
KIDHWZJUCRJVML-UHFFFAOYSA-N,"1,4-diaminobutane",0.2731669291386155,2.43193895373142,2.5574840938645895
PWGJDPKCLMLPJW-UHFFFAOYSA-N,"1,8-octanediamine",2.7787039545887318,2.4544062705162046,13.146425183231942
WRMNZCZEMHIOCP-UHFFFAOYSA-N,2-phenylethanol,1.801627046326648,2.72547860325296,9.278812787726613
RHQDFWAXVIIEBN-UHFFFAOYSA-N,"2,2,2-trifluoroethanol",1.8057488697484345,1.9622350146582381,10.36011095275138
JCCCMAAJYSNBPR-UHFFFAOYSA-N,2-ethylthiophene,0.9264177789385549,2.7947224479542085,4.536096801010034
YHRUOJUYPBUZOS-UHFFFAOYSA-N,"1,3-dichloropropane",2.3059054430816057,2.396129844997719,15.10300222406126
KJDRSWPQXHESDQ-UHFFFAOYSA-N,"1,4-dichlorobutane",1.4596060254699586e-06,2.4040064868981146,2.4040064869012427
XPFVYQJUAUNWIW-UHFFFAOYSA-N,furfuryl_alcohol,1.9394947351551486,2.5631260333701738,12.565089734248895
IYXGSMUGOJNHAZ-UHFFFAOYSA-N,diethyl_malonate,3.0421555708562016,2.380930189750316,16.586344402725885
QFOHBWFCKVYLES-UHFFFAOYSA-N,butyl-4-hydroxybenzoate,,,
GWYFCOCPABKNJV-UHFFFAOYSA-N,isovaleric_acid,2.0169473010870846,2.3465657811332474,10.720144307529576
WGYKZJWCGVVSQN-UHFFFAOYSA-N,n-propylamine,1.385544306920194,2.3873109996708517,8.03659773065305
JJWLVOIRVHMVIS-UHFFFAOYSA-N,isopropylamine,1.3405845056459682,2.3779963707868483,7.577566177311606
HPNMFZURTQLUMO-UHFFFAOYSA-N,diethylamine,1.069221313174841,2.4174285952932744,4.995441699023802
HGINCPLSRVDWNT-UHFFFAOYSA-N,acrolein,2.9798245938588237,2.387730477280593,37.168792525676544
HGBOYTHUEUWSSQ-UHFFFAOYSA-N,pentanal,3.3662772285457327,2.3635218719454434,29.44699922816109
MLUCVPSAIODCQM-NSCUHMNNSA-N,trans-crotonaldehyde,4.4398384616645385,2.41782102130363,65.06671977712492
XNNQFQFUQLJSQT-UHFFFAOYSA-N,bromotrichloromethane,2.343987203394429,2.5549373792380297,15.84524261644581
FJBFPHVGVWTDIP-UHFFFAOYSA-N,dibromomethane,3.225714682995201,2.653002997368756,41.32332292794005
JPOXNPPZZKNXOV-UHFFFAOYSA-N,bromochloromethane,3.3016495207725614,2.5157583990366432,43.56629954210533
GSEJCLTVZPLZKY-UHFFFAOYSA-N,triethanolamine,2.0312896451922327,2.3432061128898645,8.180039348294935
LZCLXQDLBQLTDK-BYPYZUCNSA-N,ethyl_lactate,2.9164225320708637,2.3219130748122394,19.018245592720163
ITQTTZVARXURQS-UHFFFAOYSA-N,3-methylpyridine,2.5642452329372283,2.734155050736603,21.1534031577752
XUPYJHCZDLZNFP-UHFFFAOYSA-N,n-butyl_n-butyrate,2.0457815669110126,2.410612685020691,8.302005665712048
SMWDFEZZVXVKRB-UHFFFAOYSA-N,quinoline,2.1087376397251236,2.9731493345933893,13.288557887527805
DTQVDTLACAAQTR-UHFFFAOYSA-N,trifluoroacetic_acid,3.108485734245848,1.9768983334486423,27.081808031165323
ZRKMQKLGEQPLNS-UHFFFAOYSA-N,n-pentyl_mercaptan,2.6469397524188727,2.5108834708808114,17.09849118630772
OYHQOLUKZRVURQ-HZJYTTRNSA-N,linoleic_acid,1.8398843045042967,2.4896032003895203,4.6999811561311065
