fam_solute,fam_solvent,n,MAE,bias,model
ketone/aldehyde,acid,28,1.42941557295336,-1.42941557295336,cosmosac2010
ketone/aldehyde,alcohol,9,3.462754935175086,3.462754935175086,cosmosac2010
ketone/aldehyde,aromatic HC,1,0.3056669137408029,-0.3056669137408029,cosmosac2010
ketone/aldehyde,water,53,0.38257831821818633,0.05952036313725294,cosmosac2010
nitrile,alkene/alkyne,1,1.293999563813321,-1.293999563813321,cosmosac2010
nitrile,aromatic HC,1,0.0525159942402319,-0.0525159942402319,cosmosac2010
nitrile,water,2,0.9220931468133478,-0.9220931468133478,cosmosac2010
water,alkene/alkyne,1,4.984808217994674,4.984808217994674,cosmosac2010
water,ketone/aldehyde,3,1.1289267231712286,1.1289267231712286,cosmosac2010
water,nitrile,1,1.3368103662349098,1.3368103662349098,cosmosac2010
acid,alkane,6,2.0271002748523337,2.0271002748523337,cosmosac_dsp
alcohol,acid,133,1.4685143396563833,-1.4685143396563833,cosmosac_dsp
alcohol,alcohol,59,1.7851999608137894,1.4819532157026,cosmosac_dsp
alcohol,alkane,38,0.9169356110927347,0.9169356110927347,cosmosac_dsp
alcohol,amide,9,0.6347796065893011,0.6347796065893011,cosmosac_dsp
alcohol,amine,16,0.7029537828270673,-0.7029537828270673,cosmosac_dsp
alcohol,aromatic HC,27,1.2754840966242311,1.2754840966242311,cosmosac_dsp
alcohol,water,177,0.9786658202070502,0.9786658202070502,cosmosac_dsp
alkane,acid,111,0.20087935268199847,-0.16703709950166692,cosmosac_dsp
alkane,alcohol,456,0.8652902550893636,-0.4271588280540474,cosmosac_dsp
alkane,alkane,1,0.1818483017075901,-0.1818483017075901,cosmosac_dsp
alkane,amide,34,0.9517800875122949,-0.9517800875122949,cosmosac_dsp
alkane,amine,23,0.3731603793682674,-0.11352785889272092,cosmosac_dsp
alkane,aromatic HC,77,0.3764259005392145,-0.3764259005392145,cosmosac_dsp
alkane,ether,24,0.41886391928315264,-0.41886391928315264,cosmosac_dsp
alkane,ketone/aldehyde,31,0.4343494382325152,-0.4343494382325152,cosmosac_dsp
alkane,nitrile,1,0.5021417491432119,0.5021417491432119,cosmosac_dsp
alkene/alkyne,acid,25,0.27793629514220397,-0.27793629514220397,cosmosac_dsp
alkene/alkyne,alcohol,429,0.6390039003817666,-0.385822976551166,cosmosac_dsp
alkene/alkyne,alkane,1,0.4368478892638614,0.4368478892638614,cosmosac_dsp
alkene/alkyne,amide,13,1.0870589537234705,-1.0870589537234705,cosmosac_dsp
alkene/alkyne,amine,20,0.4407215972556916,-0.4407215972556916,cosmosac_dsp
alkene/alkyne,aromatic HC,146,0.4025069972890194,-0.4025069972890194,cosmosac_dsp
alkene/alkyne,ether,30,0.35191443771384606,-0.35191443771384606,cosmosac_dsp
alkene/alkyne,nitrile,1,0.7081296954504328,0.7081296954504328,cosmosac_dsp
alkene/alkyne,water,1,0.8433244812539424,0.8433244812539424,cosmosac_dsp
amide,water,30,1.4256336753396885,1.34959969636861,cosmosac_dsp
amine,alkane,3,0.40944016034383796,0.40944016034383796,cosmosac_dsp
amine,aromatic HC,5,0.2131042550619001,0.2131042550619001,cosmosac_dsp
amine,water,18,1.8004658819663772,1.787783107359303,cosmosac_dsp
aromatic HC,acid,41,0.07956288766247055,-0.0026355709477830992,cosmosac_dsp
aromatic HC,alcohol,133,0.7459717459665267,-0.4443753351407306,cosmosac_dsp
aromatic HC,amide,16,0.25958778435055396,-0.25387472455320537,cosmosac_dsp
aromatic HC,amine,18,0.2595546045237092,-0.18526844098549666,cosmosac_dsp
